,name,template,physical_parent,date,time,path,level,Unit_Name,Subunit_Src_Sheet,Subunit_Name,comment
145,,,cpm_top,,,,5,cpm_top,,,
146,parcpmaram,parcpmaram,cpm_top,2019-02-05,08:05:40.817455000,/p/hdk/archive/sdg74/noa/parcpmaram/apr_noa/SNRB0_SC__VER_6/apr/outputs/parcpmaram.apr_final.vg.gz,5,cpm_top,F_parcpmaram,parcpmaram,No Subcell
147,parcpmcast1,parcpmcast1,cpm_top,2019-02-03,10:38:36.662474000,/p/hdk/archive/sdg74/noa/parcpmcast1/apr_noa/SNRB0_SC__VER_8/apr/outputs/parcpmcast1.apr_final.vg.gz,5,cpm_top,F_parcpmcast1,parcpmcast1,No Subcell
148,parcpmhi,parcpmhi,cpm_top,NOT FOUND,NOT FOUND,NOT FOUND,5,cpm_top,F_parcpmhi,parcpmhi,No Subcell
149,parcpmssma_xa,parcpmssma_xa,cpm_top,NOT FOUND,NOT FOUND,NOT FOUND,5,cpm_top,F_parcpmssma_xa,parcpmssma_xa,No Subcell
150,parcpmssmb,parcpmssmb,cpm_top,2019-01-30,09:52:09.089526000,/p/hdk/archive/sdg74/noa/parcpmssmb/apr_noa/SNRB0_SC__VER_10/apr/outputs/parcpmssmb.apr_final.vg.gz,5,cpm_top,F_parcpmssmb,parcpmssmb,No Subcell
151,parcpmssmc_xa_0,parcpmssmc_xa,cpm_top,NOT FOUND,NOT FOUND,NOT FOUND,5,cpm_top,F_parcpmssmc_xa,parcpmssmc_xa,No Subcell
152,parcpmssmc_xa_1,parcpmssmc_xa,cpm_top,NOT FOUND,NOT FOUND,NOT FOUND,5,cpm_top,F_parcpmssmc_xa,parcpmssmc_xa,No Subcell
153,parcpmssmd_xa,parcpmssmd_xa,cpm_top,NOT FOUND,NOT FOUND,NOT FOUND,5,cpm_top,F_parcpmssmd_xa,parcpmssmd_xa,No Subcell
154,parcpmssme_xa,parcpmssme_xa,cpm_top,NOT FOUND,NOT FOUND,NOT FOUND,5,cpm_top,F_parcpmssme_xa,parcpmssme_xa,No Subcell
155,parcpmssmf_0,parcpmssmf,cpm_top,NOT FOUND,NOT FOUND,NOT FOUND,5,cpm_top,F_parcpmssmf,parcpmssmf,No Subcell
156,parcpmssmf_1,parcpmssmf,cpm_top,NOT FOUND,NOT FOUND,NOT FOUND,5,cpm_top,F_parcpmssmf,parcpmssmf,No Subcell
157,parcpmssmf_2,parcpmssmf,cpm_top,NOT FOUND,NOT FOUND,NOT FOUND,5,cpm_top,F_parcpmssmf,parcpmssmf,No Subcell
158,parcpmssmf_3,parcpmssmf,cpm_top,NOT FOUND,NOT FOUND,NOT FOUND,5,cpm_top,F_parcpmssmf,parcpmssmf,No Subcell
159,parcpmssmg_xa,parcpmssmg_xa,cpm_top,NOT FOUND,NOT FOUND,NOT FOUND,5,cpm_top,F_parcpmssmg_xa,parcpmssmg_xa,No Subcell
181,,,dino,,,,5,dino,,,
182,pardinomisc,pardinomisc,dino,NOT FOUND,NOT FOUND,NOT FOUND,5,dino,F_pardinomisc,pardinomisc,No Subcell
183,pardsa,pardsa,dino,NOT FOUND,NOT FOUND,NOT FOUND,5,dino,F_pardsa,pardsa,No Subcell
184,pariax1,pariax1,dino,NOT FOUND,NOT FOUND,NOT FOUND,5,dino,F_pariax1,pariax1,No Subcell
185,pariax2,pariax2,dino,NOT FOUND,NOT FOUND,NOT FOUND,5,dino,F_pariax2,pariax2,No Subcell
186,pariax3,pariax3,dino,NOT FOUND,NOT FOUND,NOT FOUND,5,dino,F_pariax3,pariax3,No Subcell
187,parnrthpk,parnrthpk,dino,2019-01-29,03:41:58.130297000,/p/hdk/archive/sdg74/noa/parnrthpk/apr_noa/ICXSPXCCB0_IIN_VER_0/apr/outputs/parnrthpk.apr_final.vg.gz,5,dino,F_parnrthpk,parnrthpk,No Subcell
188,parpsf,parpsf,dino,2018-03-26,11:13:18.922017000,/p/hdk/archive/sdg74/noa/parpsf/apr_noa/ICXSPXCCB0LATEST/apr/outputs/parpsf.apr_final.vg.gz,5,dino,F_parpsf,parpsf,No Subcell
160,,,hqm,,,,5,hqm,,,
161,par_hqm_credit_hist_pipe,par_hqm_credit_hist_pipe,hqm,NOT FOUND,NOT FOUND,NOT FOUND,5,hqm,F_par_hqm_credit_hist_pipe,par_hqm_credit_hist_pipe,No Subcell
162,par_hqm_dir_pipe,par_hqm_dir_pipe,hqm,NOT FOUND,NOT FOUND,NOT FOUND,5,hqm,F_par_hqm_dir_pipe,par_hqm_dir_pipe,No Subcell
163,par_hqm_dqed_pipe,par_hqm_dqed_pipe,hqm,NOT FOUND,NOT FOUND,NOT FOUND,5,hqm,F_par_hqm_dqed_pipe,par_hqm_dqed_pipe,No Subcell
164,par_hqm_iosf,par_hqm_iosf,hqm,NOT FOUND,NOT FOUND,NOT FOUND,5,hqm,F_par_hqm_iosf,par_hqm_iosf,No Subcell
165,par_hqm_list_sel_pipe,par_hqm_list_sel_pipe,hqm,NOT FOUND,NOT FOUND,NOT FOUND,5,hqm,F_par_hqm_list_sel_pipe,par_hqm_list_sel_pipe,No Subcell
166,par_hqm_nalb_pipe,par_hqm_nalb_pipe,hqm,NOT FOUND,NOT FOUND,NOT FOUND,5,hqm,F_par_hqm_nalb_pipe,par_hqm_nalb_pipe,No Subcell
167,par_hqm_qed_pipe,par_hqm_qed_pipe,hqm,NOT FOUND,NOT FOUND,NOT FOUND,5,hqm,F_par_hqm_qed_pipe,par_hqm_qed_pipe,No Subcell
168,par_hqm_system,par_hqm_system,hqm,NOT FOUND,NOT FOUND,NOT FOUND,5,hqm,F_par_hqm_system,par_hqm_system,No Subcell
192,,,scf_ubox,,,,5,scf_ubox,,,
193,cms3_tall_ubox,cms3_tall,scf_ubox,NOT FOUND,NOT FOUND,NOT FOUND,5,scf_ubox,F_cms3_tall,cms3_tall,No Subcell
194,scf_ubox_miscpar,scf_ubox_miscpar,scf_ubox,NOT FOUND,NOT FOUND,NOT FOUND,5,scf_ubox,F_scf_ubox_miscpar,scf_ubox_miscpar,No Subcell
195,uboxpar,uboxpar,scf_ubox,NOT FOUND,NOT FOUND,NOT FOUND,5,scf_ubox,F_uboxpar,uboxpar,No Subcell
140,,,hca,,,,4,hca,,,
141,cpm_top,cpm_top,hca,NOT FOUND,NOT FOUND,NOT FOUND,4,hca,P_hier_seq,cpm_top,sub_template:hca
142,hqm,hqm,hca,NOT FOUND,NOT FOUND,NOT FOUND,4,hca,P_hier_seq,hqm,sub_template:hca
143,parhcachassis,parhcachassis,hca,NOT FOUND,NOT FOUND,NOT FOUND,4,hca,F_parhcachassis,parhcachassis,No Subcell
