,name,template,physical_parent,date,time,path,level,Unit_Name,Subunit_Src_Sheet,Subunit_Name,comment
150,,,cpm_top,,,,5,cpm_top,,,
151,parcpmaram,parcpmaram,cpm_top,2019-05-28,15:23:17.507604000,/p/hdk/archive/sdg74/noa/parcpmaram/caliber_nomxlt_noa/SNRB0_SC__VER_33/duet/report/parcpmaram_rser_report.txt.gz,5,cpm_top,F_parcpmaram,parcpmaram,No Subcell
152,parcpmcast1,parcpmcast1,cpm_top,2019-06-05,18:33:18.811015000,/p/hdk/archive/sdg74/noa/parcpmcast1/caliber_nomxlt_noa/SNRB0_SC__VER_23/duet/report/parcpmcast1_rser_report.txt.gz,5,cpm_top,F_parcpmcast1,parcpmcast1,No Subcell
153,parcpmhi,parcpmhi,cpm_top,NOT FOUND,NOT FOUND,NOT FOUND,5,cpm_top,F_parcpmhi,parcpmhi,No Subcell
154,parcpmssma_xa,parcpmssma_xa,cpm_top,NOT FOUND,NOT FOUND,NOT FOUND,5,cpm_top,F_parcpmssma_xa,parcpmssma_xa,No Subcell
155,parcpmssmb,parcpmssmb,cpm_top,2019-05-21,16:34:40.310558000,/p/hdk/archive/sdg74/noa/parcpmssmb/caliber_nomxlt_noa/SNRB0_SC__VER_42/duet/report/parcpmssmb_rser_report.txt.gz,5,cpm_top,F_parcpmssmb,parcpmssmb,No Subcell
156,parcpmssmc_xa_0,parcpmssmc_xa,cpm_top,NOT FOUND,NOT FOUND,NOT FOUND,5,cpm_top,F_parcpmssmc_xa,parcpmssmc_xa,No Subcell
157,parcpmssmc_xa_1,parcpmssmc_xa,cpm_top,NOT FOUND,NOT FOUND,NOT FOUND,5,cpm_top,F_parcpmssmc_xa,parcpmssmc_xa,No Subcell
158,parcpmssmd_xa,parcpmssmd_xa,cpm_top,NOT FOUND,NOT FOUND,NOT FOUND,5,cpm_top,F_parcpmssmd_xa,parcpmssmd_xa,No Subcell
159,parcpmssme_xa,parcpmssme_xa,cpm_top,NOT FOUND,NOT FOUND,NOT FOUND,5,cpm_top,F_parcpmssme_xa,parcpmssme_xa,No Subcell
160,parcpmssmf_0,parcpmssmf,cpm_top,NOT FOUND,NOT FOUND,NOT FOUND,5,cpm_top,F_parcpmssmf,parcpmssmf,No Subcell
161,parcpmssmf_1,parcpmssmf,cpm_top,NOT FOUND,NOT FOUND,NOT FOUND,5,cpm_top,F_parcpmssmf,parcpmssmf,No Subcell
162,parcpmssmf_2,parcpmssmf,cpm_top,NOT FOUND,NOT FOUND,NOT FOUND,5,cpm_top,F_parcpmssmf,parcpmssmf,No Subcell
163,parcpmssmf_3,parcpmssmf,cpm_top,NOT FOUND,NOT FOUND,NOT FOUND,5,cpm_top,F_parcpmssmf,parcpmssmf,No Subcell
164,parcpmssmg_xa,parcpmssmg_xa,cpm_top,NOT FOUND,NOT FOUND,NOT FOUND,5,cpm_top,F_parcpmssmg_xa,parcpmssmg_xa,No Subcell
188,,,dino,,,,5,dino,,,
189,pardinomisc,pardinomisc,dino,NOT FOUND,NOT FOUND,NOT FOUND,5,dino,F_pardinomisc,pardinomisc,No Subcell
190,pardsa,pardsa,dino,NOT FOUND,NOT FOUND,NOT FOUND,5,dino,F_pardsa,pardsa,No Subcell
191,pariax1,pariax1,dino,NOT FOUND,NOT FOUND,NOT FOUND,5,dino,F_pariax1,pariax1,No Subcell
192,pariax2,pariax2,dino,NOT FOUND,NOT FOUND,NOT FOUND,5,dino,F_pariax2,pariax2,No Subcell
193,pariax3,pariax3,dino,NOT FOUND,NOT FOUND,NOT FOUND,5,dino,F_pariax3,pariax3,No Subcell
194,parnrthpk,parnrthpk,dino,2019-08-08,13:20:11.336920000,/p/hdk/archive/sdg74/noa/parnrthpk/caliber_nomxlt_noa/ICXSPXCCB0_IIN_VER_60/duet/report/parnrthpk_rser_report.txt.gz,5,dino,F_parnrthpk,parnrthpk,No Subcell
195,parpsf,parpsf,dino,2019-06-16,19:10:56.561590000,/p/hdk/archive/sdg74/noa/parpsf/caliber_nomxlt_noa/ICXSPXCCB0_IIN_VER_32/duet/report/parpsf_rser_report.txt.gz,5,dino,F_parpsf,parpsf,No Subcell
165,,,hqm,,,,5,hqm,,,
166,par_hqm_credit_hist_pipe,par_hqm_credit_hist_pipe,hqm,2019-06-26,19:13:48.340339000,/p/hdk/archive/sdg74/noa/par_hqm_credit_hist_pipe/caliber_nomxlt_noa/SNRB0_SC__VER_33/duet/report/par_hqm_credit_hist_pipe_rser_report.txt.gz,5,hqm,F_par_hqm_credit_hist_pipe,par_hqm_credit_hist_pipe,No Subcell
167,par_hqm_dir_pipe,par_hqm_dir_pipe,hqm,2019-06-27,12:09:33.041708000,/p/hdk/archive/sdg74/noa/par_hqm_dir_pipe/caliber_nomxlt_noa/SNRB0_SC__VER_47/duet/report/par_hqm_dir_pipe_rser_report.txt.gz,5,hqm,F_par_hqm_dir_pipe,par_hqm_dir_pipe,No Subcell
168,par_hqm_dqed_pipe,par_hqm_dqed_pipe,hqm,2019-06-26,16:16:32.906666000,/p/hdk/archive/sdg74/noa/par_hqm_dqed_pipe/caliber_nomxlt_noa/SNRB0_SC__VER_68/duet/report/par_hqm_dqed_pipe_rser_report.txt.gz,5,hqm,F_par_hqm_dqed_pipe,par_hqm_dqed_pipe,No Subcell
169,par_hqm_iosf,par_hqm_iosf,hqm,NOT FOUND,NOT FOUND,NOT FOUND,5,hqm,F_par_hqm_iosf,par_hqm_iosf,No Subcell
