,Row,# inputs #,Unit_Name,Subunit_Src_Sheet,Subunit_Name,Description,# Instance Counts + Scaling Values #,Instance_Count,Scaling,SOFA_Voltage,Use_Voltage,GOT_GB,# User AVF Override #,User_SBU_SDC_AVF,User_SBU_DUE_AVF,User_MBU_SDC_AVF,User_MBU_DUE_AVF,# User FIT Override #,User_SBU_SDC,User_SBU_DUE,User_MBU_SDC,User_MBU_DUE,# Block Details (reported by source sheet) #,Latch_Bits,Flop_Bits,Domino_Bits,RF_Bits,Cache_Bits,SDL_Bits,Total_Bits,# Protections #,Protection_Type,FlopLatch_Protection,DFX_Fraction,PerfOnly_Fraction,Interleave_Level,# Total Bit Sumamry (All instances) #,RU_Latch_Bits,RU_Flop_Bits,RU_Domino_Bits,RU_RF_Bits,RU_Cache_Bits,RU_SDL_Bits,RU_Total_Bits,# Voltage / GOT Scaling #,Voltage_Scaling,GOT_Scaling,Total_Scaling,# Per Instance Raw FIT #,# Raw FIT #,# Intermediate Values #,Int_SBU_SDC,Int_SBU_DUE,Int_MBU_SDC,Int_MBU_DUE,Int_Scaled_Instances,SEQ_AVF,SBU_SDC_AVF,SBU_DUE_AVF,MBU_SDC_AVF,MBU_DUE_AVF,TDF,SEQ_AVF_Wt,SBU_SDC_AVF_Wt,SBU_DUE_AVF_Wt,MBU_SDC_AVF_Wt,MBU_DUE_AVF_Wt,TDF_Wt,# SBU Total #,SBU_SDC,SBU_DUE,# MBU Total #,MBU_SDC,MBU_DUE,# Grand Total #,Total_SDC,Total_DUE,end,Unnamed: 0,name,template,physical_parent,date,time,path,level,comment
155,155.0,,sprdino,,,,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,185,,,sprdino,,,,4,
156,156.0,,sprdino,P_hier_seq,dino,# nan,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,20647.0,384777.0,0.0,0.0,0.0,0.0,405424.0,,"{nan, ""{'NONE'}""}","{nan, ""{'NONE'}""}",0.0,0.0,"{nan, '{1.0}'}",,20647.0,384777.0,0.0,0.0,0.0,0.0,405424.0,,1.0,1.0,1.0,,,,3.313281253493403,0.0,0.0,0.0,1.0,1,1,1,1,1,0.5,405424.0,3.313281253493403,0.0,0.0,0.0,202712.0,,3.313281253493403,0.0,,0.0,0.0,,3.313281253493403,0.0,,186,dino,dino,sprdino,2019-09-21,04:18:08.410001000,/p/hdk/archive/sdg74/noa/dino/fev_rtl2net_noa/SPRSPXCCA0_IIN_VER_7/collateral/netlist/dino.vg.gz,4,sub_template:sprdino
157,157.0,,sprdino,F_plaoobmsm,plaoobmsm,,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,0,0,0,0,0,0,0,,set(),set(),,,set(),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,,,,0,0,0,0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,187,plaoobmsm,plaoobmsm,sprdino,2019-09-10,20:50:51.362988000,/p/hdk/archive/sdg74/noa/plaoobmsm/fev_rtl2net_noa/SPRSPXCCA0_SC__VER_20/collateral/netlist/plaoobmsm.vg.gz,4,No Subcell
158,158.0,,sprubox,,,,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,196,,,sprubox,,,,4,
159,159.0,,sprubox,F_plaubox,plaubox,,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,0,0,0,0,0,0,0,,set(),set(),,,set(),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,,,,0,0,0,0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,197,plaubox,plaubox,sprubox,2019-08-29,08:47:55.618104000,/p/hdk/archive/sdg74/noa/plaubox/fev_rtl2net_noa/SPRSPXCCA0_SC__VER_14/collateral/netlist/plaubox.vg.gz,4,No Subcell
160,160.0,,sprubox,P_hier_seq,scf_ubox,# nan,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,40643.0,122625.0,0.0,0.0,0.0,0.0,163268.0,,"{nan, ""{'NONE'}""}","{nan, ""{'NONE'}""}",0.0,0.0,"{nan, '{1.0}'}",,40643.0,122625.0,0.0,0.0,0.0,0.0,163268.0,,1.0,1.0,1.0,,,,1.3273480871993995,0.0,0.0,0.0,1.0,1,1,1,1,1,0.5,163268.0,1.3273480871993995,0.0,0.0,0.0,81634.0,,1.3273480871993995,0.0,,0.0,0.0,,1.3273480871993995,0.0,,198,scf_ubox,scf_ubox,sprubox,2019-09-27,08:04:32.955146000,/p/hdk/archive/sdg74/noa/scf_ubox/fev_rtl2net_noa/SPRSPXCCA0_SC__VER_81/collateral/netlist/scf_ubox.vg.gz,4,sub_template:sprubox
161,161.0,,upi_1x,,,,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,203,,,upi_1x,,,,4,
162,162.0,,upi_1x,F_cms3_ncap,cms3_ncap,# nan,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,31514.0,27711.0,0.0,0.0,0.0,0.0,59225.0,,{'NONE'},{'NONE'},0.0,0.0,{1.0},,31514.0,27711.0,0.0,0.0,0.0,0.0,59225.0,,1.0,1.0,1.0,,,,0.32257985318999954,0.0,0,0,1.0,0.11999999999999883,0.1700000000000001,1,1,1,0.5,7106.999999999931,0.054838575042299956,0.0,0,0,29612.5,,0.32257985318999954,0.0,,0.0,0.0,,0.32257985318999954,0.0,,204,cms_upi_1x,cms3_ncap,upi_1x,2019-09-26,16:55:43.816365000,/p/hdk/archive/sdg74/noa/cms3_ncap/fev_rtl2net_noa/SPRSPXCCA0_SC__VER_91/collateral/netlist/cms3_ncap.vg.gz,4,No Subcell
163,163.0,,upi_1x,F_hsphy_wrapper_p,hsphy_wrapper_p,# nan,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,57.0,10404.0,0.0,0.0,0.0,0.0,10461.0,,{'NONE'},{'NONE'},0.0,0.0,{1.0},,57.0,10404.0,0.0,0.0,0.0,0.0,10461.0,,1.0,1.0,1.0,,,,0.08276433732000005,0.0,0,0,1.0,0.11999999999999908,0.17,1,1,1,0.5,1255.3199999999904,0.01406993734440001,0.0,0,0,5230.5,,0.08276433732000005,0.0,,0.0,0.0,,0.08276433732000005,0.0,,205,hsphy_wrapper_p,hsphy_wrapper_p,upi_1x,2019-09-25,15:39:41.571146000,/p/hdk/archive/sdg74/noa/hsphy_wrapper_p/fev_rtl2net_noa/SPRSPXCCA0_IIN_VER_66/collateral/netlist/hsphy_wrapper_p.vg.gz,4,No Subcell
164,164.0,,upi_1x,F_ktigen3vnhp,ktigen3vnhp,# nan,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,3955.0,16148.0,0.0,0.0,0.0,0.0,20103.0,,{'NONE'},{'NONE'},0.0,0.0,{1.0},,3955.0,16148.0,0.0,0.0,0.0,0.0,20103.0,,1.0,1.0,1.0,,,,0.11647024050480012,0.0,0,0,1.0,0.11999999999999869,0.1699999999999998,1,1,1,0.5,2412.3599999999738,0.019799940885815995,0.0,0,0,10051.5,,0.11647024050480012,0.0,,0.0,0.0,,0.11647024050480012,0.0,,206,ktigen3vnhp,ktigen3vnhp,upi_1x,2019-09-24,11:25:39.727790000,/p/hdk/archive/sdg74/noa/ktigen3vnhp/fev_rtl2net_noa/SPRSPXCCA0_IIN_VER_36/collateral/netlist/ktigen3vnhp.vg.gz,4,No Subcell
