Circuit Subtype,0
ec0fan003ac1n02x5,16
ec0fan003ac1n05x5,8
ec0fan003ac1n08x5,8
ec0fan003ac2n02x5,12
ec0fan003ac2n05x5,8
ec0fan003ac3n05x5,4
ec0fan003ac4n02x5,4
ec0fan003ac4n05x5,4
ec0fan07bac1d02x5,1555
ec0fan07bac1d03x5,4
ec0fan07bac2d02x5,1802
ec0fan07bac2d03x5,8
ec0fan07bac3d02x5,1443
ec0fan07bac4d02x5,1507
ec0fan203ac1d02x5,1024
ec0fan203ac2d02x5,1036
ec0fan203ac2d03x5,4
ec0fan203ac2d05x5,8
ec0fan203ac3d02x5,1100
ec0fan203ac3d03x5,12
ec0fan203ac3d04x5,4
ec0fan203ac3d05x5,8
ec0fan203ac4d02x5,1180
ec0faw003ab1d02x5,200
ec0faw003ab1d03x5,80
ec0faw003ab1d04x5,20
ec0faw003ab1d06x5,3844
ec0faw003ab1d08x5,28
ec0faw003ab1d16x5,88
ec0faw003ab1n02x5,2229
ec0faw003ab1n03x5,1828
ec0faw003ab1n04x5,2978
ec0faw003ab1n06x5,1812
ec0faw003ab1n08x5,44
ec0faw003ab1n12x5,339
ec0faw003ab1n16x5,627
ec0faw003ab2d02x5,304
ec0faw003ab2d03x5,120
ec0faw003ab2d04x5,4
ec0faw003ab2d06x5,4448
ec0faw003ab2d08x5,28
ec0faw003ab2d12x5,12
ec0faw003ab2d16x5,135
ec0faw003ab2n02x5,2419
ec0faw003ab2n03x5,2915
ec0faw003ab2n04x5,3374
ec0faw003ab2n06x5,1856
ec0faw003ab2n08x5,80
ec0faw003ab2n12x5,324
ec0faw003ab2n16x5,544
ec0faw003ab3d02x5,272
ec0faw003ab3d03x5,120
ec0faw003ab3d04x5,8
ec0faw003ab3d06x5,3878
ec0faw003ab3d08x5,12
ec0faw003ab3d12x5,8
ec0faw003ab3d16x5,68
ec0faw003ab3n02x5,2201
ec0faw003ab3n03x5,2827
ec0faw003ab3n04x5,2819
ec0faw003ab3n06x5,1856
ec0faw003ab3n08x5,44
ec0faw003ab3n12x5,268
ec0faw003ab3n16x5,759
ec0faw003ab4d02x5,312
ec0faw003ab4d03x5,116
ec0faw003ab4d04x5,8
ec0faw003ab4d06x5,4504
ec0faw003ab4d08x5,12
ec0faw003ab4d12x5,12
ec0faw003ab4d16x5,136
ec0faw003ab4n02x5,2171
ec0faw003ab4n03x5,3236
ec0faw003ab4n04x5,3383
ec0faw003ab4n06x5,2032
ec0faw003ab4n08x5,36
ec0faw003ab4n12x5,428
ec0faw003ab4n16x5,690
ec0faw003ac1d02x5,1284
ec0faw003ac1d03x5,172
ec0faw003ac1d04x5,16
ec0faw003ac1d06x5,1581
ec0faw003ac1d08x5,235
ec0faw003ac1d12x5,40
ec0faw003ac1d16x5,63
ec0faw003ac1n02x5,32911
ec0faw003ac1n03x5,8147
ec0faw003ac1n04x5,3418
ec0faw003ac1n06x5,112
ec0faw003ac1n08x5,84
ec0faw003ac1n12x5,84
ec0faw003ac1n16x5,172
ec0faw003ac2d02x5,1556
ec0faw003ac2d03x5,192
ec0faw003ac2d04x5,44
ec0faw003ac2d06x5,2251
ec0faw003ac2d08x5,172
ec0faw003ac2d12x5,48
ec0faw003ac2d16x5,88
ec0faw003ac2n02x5,37399
ec0faw003ac2n03x5,8645
ec0faw003ac2n04x5,2532
ec0faw003ac2n06x5,80
ec0faw003ac2n08x5,128
ec0faw003ac2n12x5,156
ec0faw003ac2n16x5,124
ec0faw003ac3d02x5,1320
ec0faw003ac3d03x5,188
ec0faw003ac3d04x5,56
ec0faw003ac3d06x5,1514
ec0faw003ac3d08x5,128
ec0faw003ac3d12x5,100
ec0faw003ac3d16x5,72
ec0faw003ac3n02x5,33592
ec0faw003ac3n03x5,8261
ec0faw003ac3n04x5,2422
ec0faw003ac3n06x5,104
ec0faw003ac3n08x5,96
ec0faw003ac3n12x5,120
ec0faw003ac3n16x5,156
ec0faw003ac4d02x5,1720
ec0faw003ac4d03x5,204
ec0faw003ac4d04x5,60
ec0faw003ac4d06x5,1984
ec0faw003ac4d08x5,156
ec0faw003ac4d12x5,72
ec0faw003ac4d16x5,88
ec0faw003ac4n02x5,37017
ec0faw003ac4n03x5,9083
ec0faw003ac4n04x5,2696
ec0faw003ac4n06x5,140
ec0faw003ac4n08x5,76
ec0faw003ac4n12x5,108
ec0faw003ac4n16x5,132
ec0faw003al1n02x5,52
ec0faw003al1n03x5,20
ec0faw003al2n02x5,44
ec0faw003al2n03x5,8
ec0faw003al2n04x5,4
ec0faw003an1n03x5,16
ec0faw003an2n03x5,8
ec0faw003xb1n02x5,1692
ec0faw003xb1n03x5,844
ec0faw003xb1n04x5,552
ec0faw003xb2n02x5,2044
ec0faw003xb2n03x5,828
ec0faw003xb2n04x5,548
ec0faw003xb3n02x5,1784
ec0faw003xb3n03x5,800
ec0faw003xb3n04x5,492
ec0faw003xb4n02x5,1896
ec0faw003xb4n03x5,855
ec0faw003xb4n04x5,644
